,name,price,adress,image_link
110,Mouton,Prixsurdemande,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_4757844_uploaded_image1_1716459279.jpg
111,Mouton,150000,"Diourbel, Sénégal",https://images.coinafrique.com/thumb_4748231_uploaded_image1_1715934057.jpg
112,Mouton,275000,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_4747250_uploaded_image1_1715876701.jpg
113,Mouton,500,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4741757_uploaded_image1_1715629546.jpg
114,Mouton ,375000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4741635_uploaded_image1_1715623935.jpg
115,Mouton,175000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4731309_uploaded_image1_1715104342.jpg
116,Mouton Ladoum,Prixsurdemande,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_4719240_uploaded_image1_1714554654.jpg
117,Mouton  ,300000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4725591_uploaded_image1_1714828482.jpg
118,Mouton ,275,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4725589_uploaded_image1_1714828398.jpg
119,Mouton ,300000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4725585_uploaded_image1_1714828278.jpg
120,Mouton,Prixsurdemande,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_4680580_uploaded_image1_1712496965.jpg
121,Mouton,190000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4721636_uploaded_image1_1714655385.jpg
122,Mouton,220000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4721626_uploaded_image1_1714655032.jpg
123,Mouton Azawat,280000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4715180_uploaded_image1_1714322575.jpg
124,Mouton Ladoum,1300000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4705081_uploaded_image2_1713794349.jpeg
125,Mouton,350000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4703542_uploaded_image1_1713713023.jpg
126,Mouton Ladoum,500000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4703472_uploaded_image1_1713709692.jpg
127,Mouton soudanais,385000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4678969_uploaded_image1_1712396340.jpg
128,Mouton tchadienne,275000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4678964_uploaded_image1_1712396100.jpg
129,Mouton,320000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4677640_uploaded_image1_1712323497.jpg
130,Mouton,250,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4671961_uploaded_image1_1712077263.jpg
131,Mouton ,200000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4666295_uploaded_image1_1711750194.jpg
132,Mouton ladoum ,Prixsurdemande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4635646_uploaded_image1_1710109869.jpg
133,Mouton  ladoum,750000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4600147_uploaded_image1_1708304604.jpg
134,Mouton Ladoum métisse,175000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4574584_uploaded_image1_1706868441.jpg
135,Mouton,200000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4536120_uploaded_image1_1704815810.jpg
136,Mouton,250000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4530463_uploaded_image1_1704536315.jpg
137,Moutons ,500000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4501360_uploaded_image1_1702662448.jpg
138,Bélier,160000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4484443_uploaded_image1_1701696864.jpg
139,Mouton Ladoum,300000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4465409_uploaded_image1_1700496107.jpg
140,Mouton,Prixsurdemande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4449743_uploaded_image1_1699479301.jpg
141,Mouton Ladoum ,1000000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4444713_uploaded_image1_1699193772.jpg
142,Mouton Ladoum,300000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4438683_uploaded_image1_1698850338.jpg
143,Mouton Ladoum ,300,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4438677_uploaded_image1_1698850236.jpg
144,Mouton,130000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4438670_uploaded_image1_1698850115.jpg
145,Femelle Ladoum ,750000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4437187_uploaded_image1_1698769870.jpg
146,Brebis,700000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4430520_uploaded_image1_1698276223.jpg
147,Mouton Brebis,700000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4423962_uploaded_image1_1697827433.jpg
148,Femelle Ladoum,Prixsurdemande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4384585_uploaded_image1_1695244150.jpg
149,Mouton,250000,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_4372450_uploaded_image1_1694450195.jpg
150,Mouton,135000,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_4332510_uploaded_image1_1691845002.jpg
151,Mouton,300000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4324452_uploaded_image1_1691333001.jpg
152,Brebis,160000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4324447_uploaded_image1_1691332476.jpg
153,Brebis,Prixsurdemande,"Thies, Sénégal",https://images.coinafrique.com/thumb_4312063_uploaded_image1_1690547414.jpg
154,Mouton ,350000,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_4296534_uploaded_image1_1689514011.jpg
155,Mouton,250000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4263827_uploaded_image1_1687286750.jpg
156,Mouton,265000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4263826_uploaded_image1_1687286656.jpg
157,Mouton,295,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4263820_uploaded_image1_1687286438.jpg
158,Mouton Ladoum,500000,"Kaffrine, Sénégal",https://images.coinafrique.com/thumb_4295855_uploaded_image1_1689444388.jpg
159,Mouton ladoum,650000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4290166_uploaded_image1_1689087261.jpg
160,Moutons,350000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4286897_uploaded_image1_1688846757.jpg
161,Mouton,420000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4277689_uploaded_image1_1688305153.jpg
162,Mouton,Prixsurdemande,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4249782_uploaded_image1_1686325226.jpg
163,Mouton,235000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4273458_uploaded_image1_1687961288.jpg
164,Mouton Tabaski,165000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4272920_uploaded_image1_1687908925.jpg
165,Moutons ,Prixsurdemande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4272303_uploaded_image1_1687872936.jpg
166,Mouton  ,325000,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_4271944_uploaded_image1_1687853532.jpg
167,Mouton ,250000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4267338_uploaded_image1_1687474078.jpg
168,Mouton ladoum ,320000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4266947_uploaded_image1_1687456034.jpg
